"pealkiri","liik","aasta","tekst"
"Kliendirahulolu SA Tartu Teaduspargi teenustega aastal 2012","1. Bakalaureusetööd","2013","Tiheda konkurentsi tõttu on ettevõtetel järjest raskem hoida olemasolevaid kliente, ning leida juurde uusi kliente. Tihedas konkurentsis saavad olla tugevad ettevõtted just need, kes omavad võimalikult palju lojaalseid kliente.
Bakalaureusetöö eesmärgiks oli välja selgitada kliendirahulolu SA Tartu Teaduspargi teenustega 2012 aastal, ning sealhulgas selgitada ettevõtte kliendisuhete tugevad ja nõrgad küljed. Bakalaureusetöö eesmärgist lähtuvalt oli püstitatud järgmised uurimisülesanded: selgitada välja klientide rahulolu teoreetiline olemus ja tähtsus; anda ülevaade SA Tartu Teaduspargi kliendikesksetest tegevustest; viia läbi klientide rahulolu uuring SA Tartu Teaduspargis; analüüsida SA Tartu Teaduspargi klientide seas läbi viidud küsitluse tulemusi ja võrrelda neid eelmiste küsitluste tulemustega.
Tuginedes erialasele kirjandusele võib väita, et mida aeg edasi, seda enam küllastuvad turud, seda sarnasemaks muutuvad tooted ja teenused ning seda keerulisem on hoida kliente lojaalsetena ühe kindla ettevõtte või kaubamärgi küljes. Just sel põhjusel on tulusate kliendisuhete hoidmine ja kasumlik juhtimine muutunud ühelt poolt üha raskemaks, teisalt aga üha olulisemaks tegevuseks kõigile ettevõtetele. Mida suurem on kliendirahulolu, seda tõenäolisem on, et tarbijast võib ajapikku kujuneda lojaalne klient kes on ettevõttele kõige kasulikum. Kliendirahulolu suurenemine toob tavaliselt kaasa käibe ja kasumi kasvu ning vastupidi. Tuleb teada kliendi soove ja ootusi ning võimalusel neid soove täita.
Kliendirahulolu mõõtmise mudeleid ja meetodeid on mitmeid, neist on antud lühiülevaade käesolevas bakalaureusetöös. Lühike ülevaade antakse ZEF (z-scored electronic feedback), SERVQUAL, NPS (Net PromoterScoreon) soovitusindeksist, kliendirahulolu indeksist ja Euroopa kliendirahulolu indeksist. Käesolevas töös kasutatud küsimustiku ülesehitamisel kasutas autor poolstruktureeritud küsimustikku, mis sisaldas nii suletud kui avatud küsimusi. Ankeedi koostamisel valis töö autor andmete kogumismeetodiks kirjaliku ankeetküsimustiku, mis saateti kõigile Tartu Teaduspargi ettevõtetele e-posti teel.
Klientide rahulolu uuringust selgus, et ettevõtte tugevamateks klienditeeninduse külgedeks on: SA Tartu Teaduspargi töötajate teenindus inkubatsiooniprotsessis; SA Tartu Teaduspargis töötavate konsultantide suhtlemisoskus; äriplaani koostamise ja finantsjuhtimise nõustamine; ettevõtete vaheline koostöö ja kaasamine rahvusvahelistesse projektidesse; koolituste ja seminaride korraldamise teenus; seminariruumide kasutamise võimalus; printimise ja
koopiate tegemise võimalus; parkimise võimalus; kommunaalteenused; hoonete üldine seisukord ja ettevõtete käsutuses olevate ruumide tehniline seisukord.
Klientide rahulolu uuringust selgusid ka klienditeeninduse nõrgad küljed, nendeks on: Ettevõtluse Arendamise Sihtasutuse taotluste alane nõustamine; täiendav rahastamise alane nõustamine; tehnoloogia ja tehnosiirde alane nõustamine; ettevõtete välisreklaam väljaspool SA Tartu Teaduspargi hooneid; ettevõtteteabe esitamine SA Tartu Teaduspargi kodulehel; ettevõtete ühised messikülastused; renditavate ruumide rendihinna ja kvaliteedisuhe; sideteenused, internetiühendus.
Lähtudes käesoleva töö eesmärgist ja tuginedes uuringu tulemustele, soovitab töö autor SA Tartu Teaduspargil tööle võtta konsultante, kes nõustaks kliente just sellel alal, kus praeguste Tartu Teaduspargi oma töötajate teadmised nõrgaks jäävad. Nii on võimalik parandada Tartu Teaduspargi poolt pakutavaid nõustamise teenuseid. Kliendirahulolu tõstmiseks renditavate ruumide rendihinna ja kvaliteedisuhte parandamiseks soovitab autor teha ruumides vajalik remont. Sideteenuse ja internetiteenuse parandamiseks korraldada uus uuring (küsitlus), mille tulemusena probleemsed alad kaardistatakse. Sideteenuse kvaliteet võib olla sõltuv teenusepakkujast sest kummaski hoones on teenusepakkuja ja ka sideseadmed erinevad.
Maine kujundamise parandamiseks toob välja autor omapoolsed ettepanekud: SA Tartu Teaduspark käia klientidega tihedamini ühismessidel; SA Tartu Teaduspargi kodulehel kajastada rohkem klientide tegemisi ja saavutusi; meedias välja anda artikleid klientide saavutustest.
SA Tartu Teaduspargis on kliendirahulolu paljudes valdkondades kõrge, kuid on valdkondi, kus kliendirahulolu suurendamisega on oluline tegelda.
Käesolevast uurimistööst võib järeldada, et viies ellu autori poolseid ettepanekud on Tartu Teaduspargis võimalik kliendirahulolu oluliselt parandada."
"Jätkusuutlikku loodusturismi toetava hea tava vajadus ja põhimõtted Eesti huvigruppide näitel","2. Magistritööd","2015","Töö eesmärk oli välja selgitada Eesti loodusturismifirmade, avaliku sektori asutuste ning
erialaorganisatsioonide teadlikkust jätkusuutliku loodusturismi mõistest ning nende hinnang
seda toetava ühtse hea tava ja eetika põhimõtete välja töötamisest.
Töö teoreetilises osas analüüsiti erialakirjandust ja teadusartikleid, millega näidati jätkusuutliku
turismi seoseid eetika ja hea tava põhimõtetega. Töö praktilises osas viidi läbi
veebipõhine ankeetküsitlus, mis koostati teoreetilises osas kogutud- ja ekspertidega läbi
viidud intervjuudest saadud andmete põhjal. Küsitluse käigus selgitati välja vastajate
teadlikkus jätkusuutliku loodusturismi mõistest, komponentidest ja nende omavahelisest
tasakaalust ning suhtumine hea tava ja eetika vajalikkusesse.
Andmete analüüsist järeldus, et jätkusuutliku loodusturismi mõiste oli tuttav ja seda
moodustavat kolme komponenti oskas välja tuua veidi üle 50% vastajatest. Kõik ülejäänud
vastajad nimetasid jätkusuutlikku turismi komponendina ainult looduskeskkonna. Sellest
järeldub, et jätkusuutlikuse mõiste vajab laiemat tutvustamist ja tasakaal kolme komponendi
vahel on kaldunud looduskeskkonna poole, mida kinnitas ka kirjandusallikate analüüs. Hea
tava- ja eetikapõhimõtete välja töötamise vajalikkust hinnati kõrgeks, kuid eelistati hea tava 
põhimõtete loomist. Nende põhimõtete loomise vajadust seostati loodusturismi valdkonna
tegevusraamistiku kujunemisega, usalduse kasvuga, maine parandamisega ja sotsiaalse
kontrolli mehhanismi moodustumisega. Eetiliste põhimõtete välja töötamises hinnati kasuna
sihtkoha imago tõusu, sisendit kaalutlusotsuste tegemiseks ja seadustes esinevate võimalike
hallide alade täitmist.
Koostöö vajadust hindasid kõrgelt avalikku sektorit esindanud vastajad, keskmisest
madalamalt loodusturismi ettevõtjad ja erialaorganisatsioonid, kuid tulemused näitavad, et
koostöövalmidus on kõigil osapooltel olemas. Koostöö peamise vormina nähti loodusturismi
ettevõtteid ühendavat katusorganisatsiooni.
Hea tava, eetika ja ettevõtte tegevuspõhimõtteid kirjeldavate väidete analüüs kinnitas, et
vastajad hindavad jätkusuutliku looduskeskkonnaga seotud väiteid kõrgemalt, kui sotsiaalsevõi
majanduskeskkonnaga seotud väiteid."
"Varude arvestus Tartu Autolammutus OÜ-s","1. Bakalaureusetööd","2013","Töö ülesandeks oli uurida Tartu Autolammutus OÜ-s kasutatavaid varude arvestuse
põhimõtteid ning teha ettepanekuid ettevõtte varude arvestuspõhimõtete muutmiseks ja
täiustamiseks. Töö esimeses osas on selgitatud varude mõistet, erinevate autorite arvamusi
varudest, varude arvestussüsteeme ja nende iseärasusi, varude allahindlusi ja inventeerimise
korda ning varude kuluks kandmist finantsarvestuses. Varud on varad, mida hoitakse
müügiks tavapärase äritegevuse käigus, mida toodetakse müügiks tavapärase äritegevuse
käigus või materjalid või tarvikud, mida tarbitakse tootmisprotsessis või teenuste osutamisel.
Varude arvestusel on kasutusel varude pidev või perioodiline arvestussüsteem. Varude
kuluks kandmisel on kasutusel individuaalmaksumuse meetod, FIFO meetod ja kaalutud
keskmise meetod. Töö annab ülevaate Tartu Autolammutus OÜ-st, ettevõtte varude
arvestussüsteemidest, varude kuluks kandmise meetoditest, inventeerimisest ja varude
allahindlusest. Analüüsitakse kasutatavate meetodite vastavust Eestis kehtivatele
põhimõtetele, tehakse ettepanekuid varude arvestuse täiustamiseks ettevõttes."
"Elamute vahelagede lahenduste võrdlus","2. Magistritööd","2015","Käesoleva magistritöö eesmärk on arvutustulemuste põhjal võrrelda elamute vahelagede
maksumust erinevate sillete ja materjalide kasutamise korral. Samuti tuuakse välja
alternatiivseid võimalusi vahelagede ehitamiseks. Töö tulemuste põhjal saavad tellijad,
ehitajad ja projekteerijad teha valikuid elamute vahelagede ehituses.
Uuringus käsitletakse kahekorruselist üksikelamut (kriteeriumiteta vahelagi) ning kahe ja
enama korteriga elamut (kriteeriumitega vahelagi), kus on erinevad heliisolatsiooni- ning
tulepüsivusnõuded vahelagedele. Töös vaadeldakse kaheksat erinevat kandekonstruktsiooniga
vahelage: puittaladel vahelagi, terastaladel vahelagi, monoliitne raudbetoonvahelagi,
monteeritav õõnespaneelidest vahelagi, ruukki liitprofiilist vahelagi, teras-betoon vahelagi,
puit-betoon vahelagi ja ristkihtpuitvahelagi. Vahelagesid võrreldakse 4, 6 ja 8 meetrise silde
korral.
Puitvahelagi osutus odavamaiks 4 meetrise silde korral nii kriteeriumiteta, kui ka
kriteeriumitega vahelagede puhul. Monteeritav õõnespaneelidest raudbetoonvahelagi oli
odavaim nii kriteeriumiteta, kui ka kriteeriumitega 6 ja 8 meetrise sildega vahelae korral.
Kriteeriumitega 4 ja 6 meetrise sildega vahelae puhul osutus monoliitsest raudbetoonist
vahelae maksumus võrdselt soodsaks puitvahelaega ja monteeritava raudbetoonvahelaega.
Erinevate sillete puhul jäid odavamaid ruutmeetri hinnad kriteeriumiteta vahelagede korral
vahemikku 59-81€ ja kriteeriumitega vahelagede korral vahemikku 88-93€."
"Riigi Kinnisvara AS-i kinnisvara korrashoiu optimeerimine Politsei- ja Piirivalveameti ning Päästeameti Elva objektide näitel","2. Magistritööd","2015","Magistritöö temaatika valik tulenes Riigi Kinnisvara AS-i (RKAS) omandis olevate Politsei-
ja Piirivalveameti ning Päästeameti Elva objektide optimeerimise vajadusest, mis
tuleneb üüripinna mittenõuetekohasest funktsionaalsusest ning amortiseerunud vara remondivajadusest
või investeeringuna uue hoone ehitamisest. Uurimustöö eesmärgiks on
eeltoodud objektide kinnisvara väärtuse tõstmine ja kliendi nõuetele vastava töökeskkonna
tingimuste loomine.
Uurimistöös uuriti eeltoodud objektide olukordi ning kliendi funktsioonidele nõuetele
vastavust. Objektidele teostati visuaalne tehnilise seisukorra inventeerimine, hinnati
klientide üüripindade mahtude vajadusi ning pindade energiatõhusust. Metoodikana toodi
välja järgmised variandid: A - olemasolevad hooned remonditakse järkjärgult läbi 5- aastase
remondikava; B – olemasolevad hooned rekonstrueeritakse; C – rajatakse uus ühishoone.
Toodi välja kõigi variantide plussid ja miinused ning võrreldi olemasolevate hoonete
energiatarbimisi.
Tulemuste analüüsimiseks koondati objektide ülevaatuste tulemused, võeti arvesse
RKASi poolt hinnatud varade remondivajadusi, hoonete kasutajate poolt antud hinnangud
objektidele ning lisaks analüüsiti remonttööde ja investeeringute tasuvusi läbi üüritasude.
Koostatud uurimustöö võiks leida lähiaastatel kasutust töös käsitletud objektide üüripindade
ja üürihindade optimeerimisel."
"Insektitsiidsete preparaatide toime suur-süsijooksikule (Pterostichus niger Schall.)","2. Magistritööd","2016","Olulisemad põllumajandusmaastike indikaatorliikideks on röövtoidulised jooksiklased
(Coleoptera: Carabidae). Insektitsiidide kontaktset mõju jooksiklastele on uuritud mitmetes
teadustöödes, kuid seejuures on vähe tähelepanu pööratud nende mõjule seedemürkidena.
Uurimistöö eesmärk oli hinnata botaaniliste (NeemAzal-T/S, neemi- ja karanjaõli)
(toimeained: azadirahtin, karanjiin) ja sünteetiliste insektitsiidide (Actara 25 WG)
(toimeaine: tiametoksaam) võimalikke mõjusid suur-süsijooksiku (Pterostichus niger
Schall.) valmikute suremusele, liikumis- ja allajahtumisvõimele.
Töö tulemusena selgus, et neonikotinoid Actara 25 WG madalad kontsentratsioonid
(0,14% ja 0,02%) olid suur-süsijooksiku valmikutele toksilised, tekitades mardikatel
liikumishäireid ja põhjustasid allajahtumisvõime langust. Botaanilised insektitsiidid olid
samas katseputukatele vähem toksilised ning ei kutsunud neis esile käitumuslikke häireid.
Jätkuuuringud peaksid selgitama tiametoksaami ja neemipreparaatide mõju röövtoiduliste
jooksiklaste ning teiste kasulike lülijalgsete käitumisele ja suremusele. Seni veel vähe
tuntud insektitsiidse toimega karanjaõli efektiivsus vajab Eesti tingimustes põhjalikumaid
uuringuid."
"Eesti maaelu arengukava 2007-2013 1., 3. ja 4 . telje püsihindamise aruanne : 2012. aasta","Uuringute aruanded","2013","Eesti maaelu arengukava 2007–2013 (MAK) toetuste kasutamine on jõudnud viimase aastani. Käesolev aruanne kajastab eelneva perioodi tulemusi. Euroopa Komisjoni maaelu arengu komitee andis MAK 2007–2013 heakskiidu 29. novembril 2007, mil avanes võimalus kasutada ühise põllumajanduspoliitika ja maaelu arengu toetusi Maaelu Arengu Euroopa Põllumajandusfondist (EAFRD). MAKi raames on Eestil võimalik kasutada ligikaudu 925,2 mln eurot avaliku sektori toetusraha põllumajanduse ja maaelu arengu toetamiseks. Perioodil 2007–2013 rahastatakse EAFRD fondist 714,6 mln euro ning kaasfinantseeritakse Eesti riigi eelarvest 210,6 mln euro ulatuses.
MAKi meetmete rakendamine toimub Põllumajandusministeeriumi ja tema valitsemisala asutuste koostöös. Metsamajanduslikke meetmeid rakendatakse koostöös Keskkonnaministeeriumi valitsemisala asutustega. Meetmete rakendusüksus ja makseasutus on PRIA. Käesoleva aruandeperioodi lõpu 31.12.2012 seisuga on PRIA poolt rakendatud 1. telje kõik üheksa meedet koos peamiste alameetmetega. Samuti on rakendatud kaks 3. telje meedet koos alameetmetega ning Leader-meede. Programmperioodi viimasel aastal on planeeritud rakendada 1. telje kuue meetme puhul alameetmed piiratud mahus, 3. telje mitmekesistamise meede väga piiratud mahus ja Leader-meede. MAKi eelarve kasutamine ja toetuse määramine on jõudnud lõpusirgele. Projektide elluviimine on aktiivne ja viimasel aastal tuleb tähelepanu pöörata toetuse reaalsele kasutusele ning eelarvejääkide juhtimisele.
MAKi strateegilise lähenemisega seoses rakendatakse seire- ja hindamise süsteemi, mis on sätestatud Nõukogu määruse (EÜ) 1698/2005 artiklis 86. EMÜ majandus- ja sotsiaalinstituut on MAK perioodil 2007–2016 püsihindaja 1., 3. ja 4. telje raames. MAK 2007–2013 2. telje püsihindaja on Põllumajandusuuringute Keskus (PMK). Püsihindajad teevad omavahel koostööd, et hinnata telgede vahel tekkinud seoseid ja mõju ettevõtjatele. Püsihindaja pädevus on määratletud põllumajandusministri 21. märts 2011. a määrusega nr 26 „Eesti maaelu arengukava 2007–2013 seire ja hindamise kord“. Vastavalt korrale edastab Eesti Maaülikool Põllumajandusministeeriumile aruandeaastal rakendatud toetuste kohta aruandeaastale järgneva aasta 1. aprilliks seirearuande koostamiseks vajaliku teabe:
 ülevaade arengukava 1., 3. ja Leader-meetme toetustest, mis sisaldab andmeid tulemus- ja mõjunäitajate kohta, võttes arvesse arengukavas sätestatud eesmärke ning sisend- ja väljundnäitajaid;
 ülevaade 1., 3. ja Leader-meetme püsihindamisalastest tegevustest;
 vajaduse korral muu teave toetuste tõhusamaks rakendamiseks.
Püsihindamisel lähtutakse EL ühisest seire- ja hindamisraamistikust (CMEF- Common monitoring and evaluation framework). Lisaks on koostatud püsihindaja poolt andmete analüüsi metoodika.
 Püsihindamise tulemusena on võimalik iga-aastaselt juhtida abiraha paremat ärakasutamist programmi ning meetmete eesmärkidest lähtuvalt.
 Püsihindamisega tagatakse struktureeritud ülevaade toetuse saajatest ja kaasnevatest sotsiaalmajanduslikest näitajatest. Püsihindamise käigus kogutud andmete tulemused perioodil 2007–2012 võetakse kokku käesolevas aruandes. Püsihindamise tulemuste analüüsimisel lähtutakse maaelu arengu meetmete kolme põhieesmärgi täitmisest, milleks on:
 põllumajanduse ja metsanduse konkurentsivõime parandamine ümberkorraldamise, arendamise ja innovatsiooni toetamisega;
 keskkonna ja paikkonna parandamine maade hooldamise toetamisega;
 maapiirkondade elukvaliteedi parandamine ja majandustegevuse mitmekesistamise soodustamine.
Püsihindamine hõlmab kõiki MAK 2007–2013 1., 2., 3. telje ja Leader-meetme toetusi, mis on seotud põllumajanduse ja metsamajanduse konkurentsivõimega, maade hooldamise ja keskkonnaga, elukvaliteediga ja tegevuste mitmekesistamisega. Võetakse arvesse olukordade mitmekesisust, alates rahvastiku puuduse käes kannatavatest ääremaadel asuvatest maapiirkondadest ja lõpetades linnakeskuste suureneva surve all olevate maapiirkondadega.
Käesoleva aruande koostajad ja püsihindamise teostajad meetmete lõikes on:
Kersti Aro – meede 1.1, 1.3 ja Leader-meede;
Sirje Simmo – meede 1.2, 1.8, ja 1.9;
Jaana Prants – meede 1.6, 1.7 ja 3.2;
Risto Räisa – meede 1.4.1, 1.4.2, 1.4.3, 3.1 ja 2. telje kokkuvõte;
Mati Mõtte – meede 1.5.1, 1.5.2, 1.5.3, 1. telje kokkuvõte ja üldosa. Andmepäringute tegemine."
"Väikese tõstekõrgusega õhktõstuki uurimine","2. Magistritööd","2014","Töös uuriti väikese tõstekõrgusega (40, 80, 120 cm) õhktõstukit uputussügavusega
2,60 m. Katsete eesmärk oli uurida kasutegurit ja seda mõjutavaid tegureid. Katsetati
kolme pihusti konstruktsiooni – otse tõusutorru ühendatud 25x2,3 õhutoruga, õhujaotuskambriga
ja 35 Ø6 mm avaga tõusutorus ning õhujaotuskambriga ja 140 Ø3 mm avaga
tõusutorus pihustit. Leiti, et pihusti konstruktsioon ei avalda Ø63 tõusutoruga õhktõstuki
kasutegurile oluliselt mõju. Suurimat mõju avaldab pihustisse antud õhu hulk. Kasuteguri
väärtused leiti arvutuste teel tuginedes katseandmetele. Maksimaalne kasuteguri
väärtus saadi 34,8 %, minimaalne 16,1 %. Järeldati, et õhktõstuki kasutegur on enamasti
väiksem võrreldes sarnaste karakteristikutega (Qmax=2,06l/s; Hmax=1,2m) pumpadega.
Paremaks valikuks võib õhktõstuk osutuda võõriseid sisaldava või keemiliselt aktiivse
vedeliku pumpamisel. Töös on tutvustatud õhktõstukite ajalugu, tööpõhimõtet ja arvutusaluseid."
"Lammutusjäätmete keskkonnasõbralik käitlemine Sadala lauda näitel","1. Bakalaureusetööd","2013","Autor uuris, millised võimalused on lauda lammutamiseks võimalikult keskkonnasäästlikult ning samas ka maksimaalselt tulusad lammutajale. Töö autor teostas mõõtmised ja tegi arvutused, mille järgi koostas andmetabeli, kus on välja toodud materjaliliikide kogused ja hinnakiri. Saadud tulemuste analüüsimise põhjal selgus, et kasulikum on töödelda võimalikult palju ehitus- ja lammutusjäätmeid kohalpeal ning seejärel saadud materjalid suunata taaskasutusse."
"Mahetoidu töötlemise olukors ja selle arenguvõimalused Eestis","1. Bakalaureusetööd","2013","Olenemata kohaliku mahetootmise kiirest laienemisest, ei ole töötlev tööstus tootjate
ja tarbijate nõudlusega suutnud sammu pidada, mistõttu läheb osa
mahepõllumajanduslikku toodangut (toorainet) tavatöötlemisse ning ei jõua kaupluste
lettidele mahetootena. Mahepõllumajandustootmise arengu seisukohast on oluline just
kohaliku tooraine kasutamine ja sellele lisandväärtuse andmine ja turustamine, mis
tagaks tootjatele suurema konkurentsivõime.
Töö eesmärk oli välja selgitada Eesti mahetoidu töötlemise sektori hetkeseis ning
tegurid, mis takistavad mahetöötlemise turule sisenemist ja pärsivad sektori arengut.
Eesmärk oli hinnata sektori väljakutseid arenguvõimaluseks ja pakkuda välja
lahendusi mahetöötlejate arvu ja toodangu mahu kasvatamiseks. Töös analüüsitakse
olemasoleva info ja autori poolt mahetöötlejate seas läbiviidud uurimuse põhjal
vastavate tegurite mõju ja seoseid valdkonna arenguvõimalustega.
Tulemustest ilmnes et, mahetoidu turustamise suurimaks takistuseks on eelkõige
oluliselt kallim hind võrreldes tavatootega ja kohalike tarbijate madal ostujõud.
Samuti suhteliselt väikesed tootmismahud takistavad pääsu olulisematele kohalikele
turustuskanalitele, milleks on supermarketid ja suuremad osutukeskused. Nõrgaks
kohaks on ka tootmisahela lünklikkus, vähene ühistegevus ja koostöö väärtusahelas,
väikesed kulutused innovatsioonile, turustuskanalitele, kvalifitseeritud tööjõu puudus
ja investeeringute nappus.
Mahetoidu töötlemise sektori arengu toetamine on väga oluline, kuna sellel on suur
potentsiaal pakkuda tarbijatele kõrgekvaliteedilisi ja innovaatilisi tooteid ning see
omab olulist rolli kohaliku mahepõllumajanduse arengus ja tulevikule suunatud
jätkusuutlike praktikate levikus."
